Year,Region,전입률
2021,Ulsan,11.6
2021,Incheon,14.8
2021,Whole country,14.1
2021,Jeollanam-do,12.2
2021,,12.5
2021,Jeju,14.2
2021,Chungcheongnam-do,13.4
2021,Chungcheongbuk-do,13.5
2022,Gangwon-do,12.7
2022,Gyeonggi-do,12.2
2022,Gyeongsangnam-do,9.8
2022,Gyeongsangbuk-do,10.1
2022,Gwangju,12.8
2022,Daegu,11.2
2022,Daejeon,13.8
2022,Busan,11.6
2022,Seoul,12.8
2022,Sejong,17.4
2022,Ulsan,9.7
2022,Incheon,13.4
2022,Whole country,12.0
2022,Jeollanam-do,10.5
2022,,11.3
2022,Jeju,12.9
2022,Chungcheongnam-do,12.3
2022,Chungcheongbuk-do,11.7
